evento; veces que se juega;jerarquia;deporte atractivo;deporte;duracion
FUT11 grupo1;1;3;0;futbol 11;6
FUT11 grupo2;1;3;0;futbol 11;6
FUT11 grupo3;1;3;0;futbol 11;6
FUT11 grupo4;1;3;0;futbol 11;6
FUT11 grupo5;1;3;0;futbol 11;6
FUT11 grupo6;1;3;0;futbol 11;6
FUT11 grupo7;1;3;0;futbol 11;6
FUT11 grupo8;1;3;0;futbol 11;6
FUT11 grupo9;1;3;0;futbol 11;6
FUT11 grupo10;1;3;0;futbol 11;6
FUT11 grupo11;1;3;0;futbol 11;6
FUT11 grupo12;1;3;0;futbol 11;6
FUT11 3-4;1;2;0;futbol 11;6
FUT11 F;1;1;1;futbol 11;6
NAT1;1;1;0;natacion;8
NAT2;1;1;0;natacion;8
TEN 4tos1;1;4;0;tenis;8
TEN 4tos2;1;4;0;tenis;8
TEN 4tos3;1;4;0;tenis;8
TEN 4tos4;1;4;0;tenis;8
TEN semi1;1;3;0;tenis;8
TEN semi2;1;3;0;tenis;8
TEN 3-4;1;2;0;tenis;8
TEN F;1;1;1;tenis;8
