evento; veces que se juega;jerarquia;deporte atractivo;deporte;duracion
FUT11 grupo1;1;3;1;futbol 11;18
FUT11 grupo2;1;3;1;futbol 11;18
FUT11 grupo3;1;3;1;futbol 11;18
FUT11 grupo4;1;3;1;futbol 11;18
FUT11 grupo5;1;3;1;futbol 11;18
FUT11 grupo6;1;3;1;futbol 11;18
FUT11 grupo7;1;3;1;futbol 11;18
FUT11 grupo8;1;3;1;futbol 11;18
FUT11 grupo9;1;3;1;futbol 11;18
FUT11 grupo10;1;3;1;futbol 11;18
FUT11 grupo11;1;3;1;futbol 11;18
FUT11 grupo12;1;3;1;futbol 11;18
FUT11 3-4;1;2;1;futbol 11;18
FUT11 F;1;1;1;futbol 11;18
FUT7 grupo1 ;1;3;0;futbolito;15
FUT7 grupo2;1;3;0;futbolito;15
FUT7 grupo3;1;3;0;futbolito;15
FUT7 grupo4;1;3;0;futbolito;15
FUT7 grupo5;1;3;0;futbolito;15
FUT7 grupo6;1;3;0;futbolito;15
FUT7 grupo7 ;1;3;0;futbolito;15
FUT7 grupo8 ;1;3;0;futbolito;15
FUT7 grupo9 ;1;3;0;futbolito;15
FUT7 grupo10 ;1;3;0;futbolito;15
FUT7 grupo11 ;1;3;0;futbolito;15
FUT7 grupo12;1;3;0;futbolito;15
FUT7 3-4;1;2;0;futbolito;15
FUT7 F;1;1;0;futbolito;15
BSK-D grupo1;1;3;0;basquetball damas;12
BSK-D grupo2;1;3;0;basquetball damas;12
BSK-D grupo3;1;3;0;basquetball damas;12
BSK-D grupo4;1;3;0;basquetball damas;12
BSK-D grupo5;1;3;0;basquetball damas;12
BSK-D grupo6;1;3;0;basquetball damas;12
BSK-D grupo7;1;3;0;basquetball damas;12
BSK-D grupo8;1;3;0;basquetball damas;12
BSK-D grupo9;1;3;0;basquetball damas;12
BSK-D grupo10;1;3;0;basquetball damas;12
BSK-D grupo11;1;3;0;basquetball damas;12
BSK-D grupo12;1;3;0;basquetball damas;12
BSK-D 3-4;1;2;0;basquetball damas;12
BSK-D F;1;1;0;basquetball damas;12
BSK-V grupo1;1;3;0;basquetball varones;12
